EmployeeName,Empoyeeaddress,phonenumber
RICHARD,richardgreen@helpinghands.cm,678926254	
SKYYANG,skyyang@helpinghands.cm,693725366	
RUBY,rubymimie@helpinghands.cm,654897733	
MIMIE,miemieyang@helpinghands.cm,695214525	
VISHA,vishaclark@helpinghands.cm,665111817	
BOBLEE,boblee@helpinghands.cm,668282672	
ANGELA,angelagreen@helpinghands.cm,697265266	
SMITH,rubysmith@helpinghands.cm,654231793	
PETER,peterwhite@helpinghands.cm,657831263	
LUCY,lucysmith@helpinghands.cm,679831432	
KALI,kali245@helpinghands.cm,698253535	
BARNES,barneswood@helpinghands.cm,672251442	
JAMES,jamesgreen@helpinghands.cm,678351433	
EXCEL,excelcode@helpinghands.cm,696534413	
ZAPPEL,zappellee@helpinghands.cm,653525218	
CHAVAN,chavan678@helpinghands.cm,675241152	
SARAH,sarahtraveler@helpinghands.cm,654231443	
FRANKY,frankyoga@helpinghands.cm,654415611	
TARAMARY,taramary@helpinghands.cm,653782392	
ELISA,elisaJENS@helpinghands.cm,675545552	
IANEMILY,ianemily@helpinghands.cm,673424151	
MARY,maryalla@helpinghands.cm,652428882	
MONRI,Monrijefferson@helpinghands.cm,654424411	
MARK,markchaves@helpinghands.cm,655355177	
JOEL,joeldreis@helpinghands.cm,653534442	
KEVIN,kevintyler@helpinghands.cm,673711535	
LYON,lyonwolks@helpinghands.cm,673829199	
DIEUDONNE,dieudonneboum@helpinghands.cm,673938637	
DINANG,dinangfotso@helpinghands.cm,655344442	
JAVID,javidecho@helpinghands.cm,654442551	
